x,uT_target,uT_rollout
0,0,0
0.01,0,-0.00345123306858
0.02,0,-0.00593108268014
0.03,0,-0.00760373559463
0.04,0,-0.00862228770349
0.05,0,-0.0091251086135
0.06,0,-0.00923248780682
0.07,0,-0.0090445332124
0.08,0,-0.00864070218699
0.09,0,-0.00808070542954
0.1,0,-0.00740622566151
0.11,0,-0.00664290310897
0.12,0,-0.00580222492294
0.13,0,-0.00488310397016
0.14,0,-0.00387302642649
0.15,0,-0.00274878001573
0.16,0,-0.00147672451612
0.17,0,-1.25914669184e-05
0.18,0,0.00169955677535
0.19,0,0.00373037369653
0.2,0,0.00617336612641
0.21,0,0.00916487816778
0.22,0,0.0129286245242
0.23,0,0.0178653090623
0.24,0,0.0247175057367
0.25,0,0.0348579572282
0.26,0,0.0508388459858
0.27,0,0.0777689159248
0.28,0,0.12618399898
0.29,0,0.216103522349
0.3,0.5,0.378059580412
0.31,0.5,0.47703331507
0.32,0.5,0.502048954079
0.33,0.5,0.518019155163
0.34,0.5,0.525181884328
0.35,0.5,0.525647841266
0.36,0.5,0.522713596096
0.37,0.5,0.518495811844
0.38,0.5,0.514134602804
0.39,0.5,0.51015724383
0.4,0.5,0.506748969401
0.41,0.5,0.503927734263
0.42,0.5,0.501639928026
0.43,0.5,0.49980674587
0.44,0.5,0.498345884023
0.45,0.5,0.497181670941
0.46,0.5,0.496249180909
0.47,0.5,0.495494936106
0.48,0.5,0.494875761357
0.49,0.5,0.494356774594
0.5,0.5,0.493909132234
0.51,0.5,0.493507997737
0.52,0.5,0.493130915831
0.53,0.5,0.492756699597
0.54,0.5,0.492364874126
0.55,0.5,0.491935742547
0.56,0.5,0.491451368449
0.57,0.5,0.49089803266
0.58,0.5,0.490271671767
0.59,0.5,0.489588905486
0.6,0.5,0.488907751234
0.61,0.5,0.48836251002
0.62,0.5,0.488216560956
0.63,0.5,0.488934222872
0.64,0.5,0.49126436603
0.65,0.5,0.496288344882
0.66,0.5,0.505197760368
0.67,0.5,0.517355869703
0.68,0.5,0.516359053559
0.69,0.5,0.435132419708
0.7,0,0.25480171696
0.71,0,0.0705303706119
0.72,0,-0.0140885654391
0.73,0,-0.0162407000857
0.74,0,-0.00819223718793
0.75,0,-0.00274981928324
0.76,0,-0.000436211034107
0.77,0,-0.000101414690887
0.78,0,-0.000754231350841
0.79,0,-0.00178416203051
0.8,0,-0.00286883516526
0.81,0,-0.00385829392026
0.82,0,-0.00469542159221
0.83,0,-0.00536902934714
0.84,0,-0.00588725917332
0.85,0,-0.0062630490732
0.86,0,-0.00650692114403
0.87,0,-0.00662407262304
0.88,0,-0.00661379724602
0.89,0,-0.00647021815512
0.9,0,-0.00618387733879
0.91,0,-0.00574416000141
0.92,0,-0.00514272015151
0.93,0,-0.00437822158804
0.94,0,-0.00346282513261
0.95,0,-0.00243110358712
0.96,0,-0.00135218915865
0.97,0,-0.000345422570296
0.98,0,0.000403077690098
0.99,0,0.000629955048231
1,0,0
