x,uT_target,uT_rollout
0,0,0
0.01,0,-0.00028652950237
0.02,0,-0.000777377803709
0.03,0,-0.00147771758317
0.04,0,-0.00238992135989
0.05,0,-0.00351286546699
0.06,0,-0.00484099746556
0.07,0,-0.00636314547881
0.08,0,-0.00806103103528
0.09,0,-0.00990742095608
0.1,0,-0.0118638274636
0.11,0,-0.0138776343402
0.12,0,-0.0158785015406
0.13,0,-0.0177738631094
0.14,0,-0.0194433149155
0.15,0,-0.0207316938226
0.16,0,-0.0214407363964
0.17,0,-0.0213194385365
0.18,0,-0.0200536974005
0.19,0,-0.0172565077244
0.2,0,-0.0124606266716
0.21,0,-0.00511578696293
0.22,0,0.00540698640554
0.23,0,0.0197960098351
0.24,0,0.0387456656339
0.25,0,0.062858450862
0.26,0,0.0925213009118
0.27,0,0.127750714377
0.28,0,0.16798010193
0.29,0,0.21194637346
0.3,0.5,0.257772541921
0.31,0.5,0.303234293017
0.32,0.5,0.346176885189
0.33,0.5,0.384859339619
0.34,0.5,0.418246746609
0.35,0.5,0.445941431128
0.36,0.5,0.468015512314
0.37,0.5,0.48489752547
0.38,0.5,0.497230414463
0.39,0.5,0.505736295354
0.4,0.5,0.511141690114
0.41,0.5,0.51413367674
0.42,0.5,0.515328385955
0.43,0.5,0.515257913073
0.44,0.5,0.514373955596
0.45,0.5,0.51305775301
0.46,0.5,0.511628380845
0.47,0.5,0.510347488113
0.48,0.5,0.509421918229
0.49,0.5,0.509005684989
0.5,0.5,0.509201449352
0.51,0.5,0.51006065884
0.52,0.5,0.511581239536
0.53,0.5,0.513701892082
0.54,0.5,0.516292399811
0.55,0.5,0.519139982753
0.56,0.5,0.521933067814
0.57,0.5,0.524246424509
0.58,0.5,0.525535430042
0.59,0.5,0.525149973851
0.6,0.5,0.52237457329
0.61,0.5,0.516487703071
0.62,0.5,0.506820539088
0.63,0.5,0.492798549543
0.64,0.5,0.473965106758
0.65,0.5,0.449998468623
0.66,0.5,0.420737647166
0.67,0.5,0.386234593357
0.68,0.5,0.346851305616
0.69,0.5,0.303403053365
0.7,0,0.257280077211
0.71,0,0.210410076128
0.72,0,0.164983970302
0.73,0,0.123039169079
0.74,0,0.0860999386001
0.75,0,0.0549749542221
0.76,0,0.0298301494733
0.77,0,0.0103774203606
0.78,0,-0.00396615735312
0.79,0,-0.0139388235735
0.8,0,-0.0203208730825
0.81,0,-0.0238585608129
0.82,0,-0.0252213392575
0.83,0,-0.02498278702
0.84,0,-0.0236167154229
0.85,0,-0.0215027967841
0.86,0,-0.0189377933138
0.87,0,-0.0161491942357
0.88,0,-0.0133088303542
0.89,0,-0.010545011826
0.9,0,-0.00795260048935
0.91,0,-0.00560100193163
0.92,0,-0.00354033056621
0.93,0,-0.00180608787861
0.94,0,-0.000422677682745
0.95,0,0.000593962912828
0.96,0,0.00123439889113
0.97,0,0.00149422853419
0.98,0,0.00137297619537
0.99,0,0.000873239412798
1,0,0
