wJ,loss_fbi,loss_j,objective
0.001,4.74067671231e-10,0.0003052111133,0.000303315697238
0.01,2.67498154113e-09,0.000303982407786,0.000302095344523
0.1,5.0841927873e-06,6.52906383038e-05,6.48852583254e-05
1,1.29017214761e-06,3.89153314018e-07,3.86778424399e-07
10,2.75307925506e-06,1.3151056244e-08,1.30519381969e-08
100,2.00187800346e-06,2.75139644401e-09,2.7612314657e-09
1000,4.26169326772e-05,4.38041958262e-09,4.53418413926e-09
10000,0.000142791181912,2.39064834595e-09,2.58192578428e-09
100000,0.000625457691783,1.56825252784e-09,1.65726321555e-09
1000000,0.00132331385885,9.69514912796e-10,1.05703323872e-09
