x,t,u
0,0,1.01347528222
1.5625,0,0.573988034062
3.125,0,-0.357511136716
4.6875,0,-0.946383563998
6.25,0,-0.66009728969
7.8125,0,0.259313854645
9.375,0,1.01158409013
10.9375,0,0.951147322874
12.5,0,0.16307123193
14.0625,0,-0.609865416401
15.625,0,-0.624216986423
17.1875,0,0.206488318225
18.75,0,1.23664890999
20.3125,0,1.65985744454
21.875,0,1.21480070053
23.4375,0,0.397512564941
25,0,0
26.5625,0,0.397512564941
28.125,0,1.21480070053
29.6875,0,1.65985744454
31.25,0,1.23664890999
32.8125,0,0.206488318225
34.375,0,-0.624216986423
35.9375,0,-0.609865416401
37.5,0,0.16307123193
39.0625,0,0.951147322874
40.625,0,1.01158409013
42.1875,0,0.259313854645
43.75,0,-0.66009728969
45.3125,0,-0.946383563998
46.875,0,-0.357511136716
48.4375,0,0.573988034062
0,0.01,1.0160074992
1.5625,0.01,0.57880917291
3.125,0.01,-0.359443691899
4.6875,0.01,-0.948144874201
6.25,0.01,-0.657493607294
7.8125,0.01,0.257755519371
9.375,0.01,1.01058433281
10.9375,0.01,0.956528550165
12.5,0.01,0.164659620531
14.0625,0.01,-0.612860399277
15.625,0.01,-0.623273675498
17.1875,0.01,0.204709146058
18.75,0.01,1.22968777465
20.3125,0.01,1.6603287331
21.875,0.01,1.22037406368
23.4375,0.01,0.39747235695
25,0.01,-0.00230042561799
26.5625,0.01,0.39440973899
28.125,0.01,1.20891379149
29.6875,0.01,1.66050946651
31.25,0.01,1.24401882773
32.8125,0.01,0.206853377052
34.375,0.01,-0.628434036359
35.9375,0.01,-0.609753721856
37.5,0.01,0.161778698613
39.0625,0.01,0.948917764258
40.625,0.01,1.01543282587
42.1875,0.01,0.260962650562
43.75,0.01,-0.664736728324
45.3125,0.01,-0.947091700162
46.875,0.01,-0.355979683957
48.4375,0.01,0.572227666274
0,0.02,1.01849966363
1.5625,0.02,0.583646270037
3.125,0.02,-0.361381381772
4.6875,0.02,-0.94986771197
6.25,0.02,-0.654939489555
7.8125,0.02,0.256226767851
9.375,0.02,1.00956716346
10.9375,0.02,0.961886710863
12.5,0.02,0.166268420994
14.0625,0.02,-0.615833100067
15.625,0.02,-0.622347372456
17.1875,0.02,0.202938978673
