x,t,f
0,0,0.180376321077
1.5625,0,0.177995234728
3.125,0,0.17508892715
4.6875,0,0.171621844172
6.25,0,0.167555093765
7.8125,0,0.162846446037
9.375,0,0.15745139122
10.9375,0,0.151322185993
12.5,0,0.144410058856
14.0625,0,0.136665672064
15.625,0,0.128042086959
17.1875,0,0.118496477604
18.75,0,0.107994012535
20.3125,0,0.0965102240443
21.875,0,0.0840354934335
23.4375,0,0.0705778375268
25,0,0.0561666972935
26.5625,0,0.0408535450697
28.125,0,0.0247134249657
29.6875,0,0.00784305017442
31.25,0,-0.0096417022869
32.8125,0,-0.0276097711176
34.375,0,-0.0459213145077
35.9375,0,-0.0644333437085
37.5,0,-0.0830064117908
39.0625,0,-0.101509347558
40.625,0,-0.119825005531
42.1875,0,-0.137851536274
43.75,0,-0.155505672097
45.3125,0,-0.172721251845
46.875,0,-0.189449191093
48.4375,0,-0.205654934049
0,0.01,0.18038494885
1.5625,0.01,0.177995294333
3.125,0.01,0.175079882145
4.6875,0.01,0.171602994204
6.25,0.01,0.167526066303
7.8125,0.01,0.162806838751
9.375,0.01,0.157400280237
10.9375,0.01,0.151258856058
12.5,0.01,0.14433388412
14.0625,0.01,0.136575967073
15.625,0.01,0.127937957644
17.1875,0.01,0.11837760359
18.75,0.01,0.107859395444
20.3125,0.01,0.0963595435023
21.875,0.01,0.0838682949543
23.4375,0.01,0.0703941583633
25,0.01,0.055966861546
26.5625,0.01,0.0406382530928
28.125,0.01,0.0244829393923
29.6875,0.01,0.00759919313714
31.25,0.01,-0.00989730935544
32.8125,0.01,-0.0278749782592
34.375,0.01,-0.0461938641965
35.9375,0.01,-0.0647104009986
37.5,0.01,-0.0832853168249
39.0625,0.01,-0.10178745538
40.625,0.01,-0.120099313557
42.1875,0.01,-0.138119712472
43.75,0.01,-0.155764907598
45.3125,0.01,-0.172969669104
46.875,0.01,-0.189684435725
48.4375,0.01,-0.20587593317
0,0.02,0.180394202471
1.5625,0.02,0.177995592356
3.125,0.02,0.175070926547
4.6875,0.02,0.171584233642
6.25,0.02,0.167497068644
7.8125,0.02,0.162766903639
