x,f_ref,f_opt,abs_error,q_top,q_d
0,0.159153833985,0.172453970861,0.0133001368759,0.998848036899,1
0.025,0.157778650522,0.170973696957,0.0131950464346,0.986546265471,0.987688340595
0.05,0.152518436313,0.165283483204,0.0127650468915,0.949952450828,0.951056516295
0.075,0.14350271225,0.155523441551,0.0120207293008,0.889967654134,0.891006524188
0.1,0.130953460932,0.141933896613,0.0109804356815,0.808068900162,0.809016994375
0.125,0.11517971009,0.12484946809,0.00966975799968,0.706272808041,0.707106781187
0.15,0.0965698435903,0.10469083131,0.0081209877201,0.587085935402,0.587785252292
0.175,0.0755821242929,0.0819543588151,0.00637223452223,0.453443058606,0.45399049974
0.2,0.0527333132923,0.0571998980148,0.00446658472258,0.308634908816,0.309016994375
0.225,0.028586037457,0.0310369858899,0.00245094843292,0.15622714327,0.15643446504
0.25,0.00373486499302,0.00410984016651,0.000374975173487,-2.74530310915e-05,6.12323399574e-17
0.275,-0.0212082713842,-0.0229185034616,0.00171023207733,-0.156281373347,-0.15643446504
0.3,-0.0456291884184,-0.0493825174723,0.00375332905388,-0.308687127584,-0.309016994375
0.325,-0.0689265206456,-0.0746305700116,0.005704049366,-0.453491980265,-0.45399049974
0.35,-0.0905266925693,-0.0980409702326,0.00751427766337,-0.587130355339,-0.587785252292
0.375,-0.10989779979,-0.119037276387,0.00913947659727,-0.70631163249,-0.707106781187
0.4,-0.126562863588,-0.137102489735,0.0105396261467,-0.808101173136,-0.809016994375
0.425,-0.140111505985,-0.151791784768,0.0116802787832,-0.889992580965,-0.891006524188
0.45,-0.150210142136,-0.162743462293,0.0125333201573,-0.949969417734,-0.951056516295
0.475,-0.156610131264,-0.169687855661,0.0130777243974,-0.986554854671,-0.987688340595
0.5,-0.159153833985,-0.172453970861,0.0133001368759,-0.998848036899,-1
0.525,-0.157778650522,-0.170973696957,0.0131950464346,-0.986546265471,-0.987688340595
0.55,-0.152518421412,-0.165283483204,0.0127650617926,-0.949952450828,-0.951056516295
0.575,-0.14350271225,-0.155523441551,0.0120207293008,-0.889967654134,-0.891006524188
0.6,-0.130953416228,-0.141933896613,0.010980480385,-0.808068900162,-0.809016994375
0.625,-0.115179687738,-0.12484946809,0.00966978035142,-0.706272808041,-0.707106781187
0.65,-0.0965698808432,-0.10469083131,0.0081209504672,-0.587085935402,-0.587785252292
0.675,-0.0755820870399,-0.0819543588151,0.00637227177513,-0.453443058606,-0.45399049974
0.7,-0.0527333319187,-0.0571998980148,0.00446656609613,-0.308634908816,-0.309016994375
0.725,-0.0285859685391,-0.0310369858899,0.00245101735079,-0.15622714327,-0.15643446504
0.75,-0.0037348701153,-0.00410984016651,0.000374970051213,2.74530310933e-05,-1.83697019872e-16
0.775,0.0212082676589,0.0229185034616,0.00171023580262,0.156281373347,0.15643446504
0.8,0.0456291846931,0.0493825174723,0.00375333277917,0.308687127584,0.309016994375
0.825,0.0689265653491,0.0746305700116,0.00570400466252,0.453491980265,0.45399049974
0.85,0.0905267372727,0.0980409702326,0.00751423295988,0.587130355339,0.587785252292
0.875,0.109897837043,0.119037276387,0.00913943934437,0.70631163249,0.707106781187
0.9,0.126562848687,0.137102489735,0.0105396410478,0.808101173136,0.809016994375
0.925,0.140111550689,0.151791784768,0.0116802340797,0.889992580965,0.891006524188
0.95,0.150210157037,0.162743462293,0.0125333052561,0.949969417734,0.951056516295
0.975,0.156610131264,0.169687855661,0.0130777243974,0.986554854671,0.987688340595
