wJ,loss_fb,loss_j,j_hf,run_index
0.001,0.00119814506684,1.85827575478e-05,0.499737018781,0
0.01,0.0053042404796,1.92847801372e-05,0.467027288623,1
0.1,0.000261499134649,4.26038386649e-05,0.00442796344101,2
1,0.000607299200965,7.80199916335e-05,0.00402182067812,3
10,0.000396032582785,3.05133107759e-05,0.00125839523565,4
100,0.00101599592635,0.000147234968608,0.00186280459404,5
1000,0.0132004958949,0.00584200583398,0.0416253416531,6
10000,0.406391827498,0.314731180668,0.300149493172,7
100000,0.794519499018,0.40466222167,0.179608537157,8
1000000,5.68782902503,0.429230719805,2.09439349677,9
10000000,27.7714668318,0.434570014477,2.75143877033,10
