x,uT_target,uT_rollout
0,0,0
0.01,0,0.000963989891596
0.02,0,0.00185489334788
0.03,0,0.00264306034289
0.04,0,0.00330220360525
0.05,0,0.00381192479406
0.06,0,0.00415994980037
0.07,0,0.00434339849674
0.08,0,0.00436881161049
0.09,0,0.00425120612268
0.1,0,0.00401263992902
0.11,0,0.00368079469272
0.12,0,0.0032879595359
0.13,0,0.00287059969472
0.14,0,0.00246944062628
0.15,0,0.00212957833104
0.16,0,0.0018994571219
0.17,0,0.00182656503081
0.18,0,0.00194638103782
0.19,0,0.00225989835091
0.2,0,0.00269481735266
0.21,0,0.00304894858535
0.22,0,0.00292937265023
0.23,0,0.00175072386148
0.24,0,-0.00104066713889
0.25,0,-0.00529163379541
0.26,0,-0.00809904603482
0.27,0,0.00475330482927
0.28,0,0.0531939995262
0.29,0,0.146972954821
0.3,0.5,0.287360607158
0.31,0.5,0.396865297817
0.32,0.5,0.456655686769
0.33,0.5,0.477805978239
0.34,0.5,0.485011027479
0.35,0.5,0.487673022649
0.36,0.5,0.489435844768
0.37,0.5,0.490957030991
0.38,0.5,0.492189296442
0.39,0.5,0.493094125306
0.4,0.5,0.4937226394
0.41,0.5,0.494158283028
0.42,0.5,0.49447723058
0.43,0.5,0.494737035061
0.44,0.5,0.494977670654
0.45,0.5,0.495225195185
0.46,0.5,0.495494806209
0.47,0.5,0.495792894864
0.48,0.5,0.496118369257
0.49,0.5,0.496463551911
0.5,0.5,0.496814770652
0.51,0.5,0.49715272802
0.52,0.5,0.497452737402
0.53,0.5,0.497684990679
0.54,0.5,0.497815107339
0.55,0.5,0.497805287523
0.56,0.5,0.497616441403
0.57,0.5,0.497211664758
0.58,0.5,0.496561510112
0.59,0.5,0.495651655946
0.6,0.5,0.494493911145
0.61,0.5,0.493142024949
0.62,0.5,0.491714749985
0.63,0.5,0.490428589186
0.64,0.5,0.489631207961
0.65,0.5,0.48975894888
0.66,0.5,0.490791536356
0.67,0.5,0.488671901784
0.68,0.5,0.459888612667
0.69,0.5,0.375843391794
0.7,0,0.234308797229
0.71,0,0.0960409513858
0.72,0,0.00918684789456
0.73,0,-0.0261318084449
0.74,0,-0.0255582913876
0.75,0,-0.0164098453711
0.76,0,-0.00891360333483
0.77,0,-0.00444603417393
0.78,0,-0.00227302526213
0.79,0,-0.00137738482325
0.8,0,-0.00109119417833
0.81,0,-0.00105932300087
0.82,0,-0.00110075342703
0.83,0,-0.00112749844082
0.84,0,-0.00110280328709
0.85,0,-0.00101736671913
0.86,0,-0.000875159168505
0.87,0,-0.000685457880527
0.88,0,-0.000458920671271
0.89,0,-0.000206079819198
0.9,0,6.28264230469e-05
0.91,0,0.00033731432354
0.92,0,0.00060576253641
0.93,0,0.000854381465944
0.94,0,0.00106617108526
0.95,0,0.00121993920008
0.96,0,0.00128946050743
0.97,0,0.00124283788219
0.98,0,0.00104220179996
0.99,0,0.000643980418159
1,0,0
