x,t,f_true,f_pred,abs_error
0.00990099,0,-0.002227471,-0.0038056,0.001578129
0.00990099,0.01010101,-0.002247731,-0.003869137,0.001621407
0.00990099,0.02020202,-0.002266934,-0.003934247,0.001667313
0.00990099,0.030303031,-0.002285109,-0.004000737,0.001715628
0.00990099,0.04040404,-0.002302282,-0.004068395,0.001766113
0.00990099,0.05050505,-0.002318479,-0.004136997,0.001818519
0.00990099,0.060606062,-0.002333727,-0.00420632,0.001872592
0.00990099,0.070707068,-0.00234805,-0.004276109,0.001928059
0.00990099,0.080808081,-0.002361475,-0.004346095,0.00198462
0.00990099,0.090909094,-0.002374024,-0.004416042,0.002042018
0.00990099,0.101010099,-0.002385721,-0.004485687,0.002099966
0.00990099,0.111111112,-0.002396589,-0.004554767,0.002158177
0.00990099,0.121212125,-0.002406652,-0.00462303,0.002216377
0.00990099,0.13131313,-0.002415931,-0.004690256,0.002274326
0.00990099,0.141414136,-0.002424446,-0.004756199,0.002331753
0.00990099,0.151515156,-0.00243222,-0.004820662,0.002388442
0.00990099,0.161616161,-0.002439274,-0.004883436,0.002444162
0.00990099,0.171717167,-0.002445626,-0.004944345,0.002498719
0.00990099,0.181818187,-0.002451298,-0.005003236,0.002551938
0.00990099,0.191919193,-0.002456307,-0.005059952,0.002603645
0.00990099,0.202020198,-0.002460673,-0.005114373,0.0026537
0.00990099,0.212121218,-0.002464415,-0.005166407,0.002701992
0.00990099,0.222222224,-0.002467549,-0.005215961,0.002748411
0.00990099,0.232323229,-0.002470094,-0.005262942,0.002792848
0.00990099,0.24242425,-0.002472066,-0.00530733,0.002835264
0.00990099,0.25252524,-0.002473482,-0.005349053,0.00287557
0.00990099,0.262626261,-0.002474359,-0.005388109,0.00291375
0.00990099,0.272727281,-0.002474714,-0.005424456,0.002949743
0.00990099,0.282828271,-0.002474559,-0.0054581,0.002983542
0.00990099,0.292929292,-0.002473912,-0.005489055,0.003015144
0.00990099,0.303030312,-0.002472787,-0.005517301,0.003044514
0.00990099,0.313131303,-0.002471198,-0.005542869,0.003071671
