x,uT_target,uT_rollout
0,0,0
0.01,0,-0.00421412832016
0.02,0,-0.00778267547789
0.03,0,-0.0105097617735
0.04,0,-0.0122358182797
0.05,0,-0.0128499187116
0.06,0,-0.0122977451751
0.07,0,-0.0105866696096
0.08,0,-0.00778923959827
0.09,0,-0.00404553130726
0.1,0,0.000435587772611
0.11,0,0.00537374885235
0.12,0,0.0104028456285
0.13,0,0.0150375237356
0.14,0,0.0186482306633
0.15,0,0.0205054639943
0.16,0,0.02004483867
0.17,0,0.0179032610447
0.18,0,0.0160399427783
0.19,0,0.0162788594395
0.2,0,0.0203072581771
0.21,0,0.0294544779217
0.22,0,0.0445420194146
0.23,0,0.066017481977
0.24,0,0.0941844429171
0.25,0,0.129420669478
0.26,0,0.172269786234
0.27,0,0.222905432225
0.28,0,0.278536084863
0.29,0,0.331228281544
0.3,0.5,0.376455848512
0.31,0.5,0.413516188034
0.32,0.5,0.445673540503
0.33,0.5,0.473544508925
0.34,0.5,0.496686248171
0.35,0.5,0.511889018323
0.36,0.5,0.519441878835
0.37,0.5,0.520179855984
0.38,0.5,0.517075802783
0.39,0.5,0.512488026564
0.4,0.5,0.508155614927
0.41,0.5,0.504420410714
0.42,0.5,0.501319751694
0.43,0.5,0.498838066919
0.44,0.5,0.496929553516
0.45,0.5,0.495530018884
0.46,0.5,0.494565353147
0.47,0.5,0.493957484941
0.48,0.5,0.493629275214
0.49,0.5,0.493509267113
0.5,0.5,0.493536208745
0.51,0.5,0.493662536184
0.52,0.5,0.493855758157
0.53,0.5,0.494096876901
0.54,0.5,0.49437584108
0.55,0.5,0.494686159898
0.56,0.5,0.495024860454
0.57,0.5,0.495407485806
0.58,0.5,0.495901738431
0.59,0.5,0.49666373558
0.6,0.5,0.497950949693
0.61,0.5,0.500100994938
0.62,0.5,0.503472342089
0.63,0.5,0.508303536727
0.64,0.5,0.514279477133
0.65,0.5,0.519048952274
0.66,0.5,0.51513170487
0.67,0.5,0.492476184642
0.68,0.5,0.44444359861
0.69,0.5,0.368852368427
0.7,0,0.268650713435
0.71,0,0.163534625493
0.72,0,0.0782774854613
0.73,0,0.0208579352694
0.74,0,-0.0105807749164
0.75,0,-0.0226235354989
0.76,0,-0.0219736011066
0.77,0,-0.0150479539355
0.78,0,-0.00676880316495
0.79,0,0.000433146324415
0.8,0,0.00567363829515
0.81,0,0.00888001692098
0.82,0,0.0103046092934
0.83,0,0.010308594477
0.84,0,0.00929723917045
0.85,0,0.00771934206971
0.86,0,0.00602413150929
0.87,0,0.00446197234706
0.88,0,0.00309953688316
0.89,0,0.00188869764313
0.9,0,0.000753883055263
0.91,0,-0.000320731503727
0.92,0,-0.00128968955666
0.93,0,-0.00208475059428
0.94,0,-0.00264328715689
0.95,0,-0.00292103258685
0.96,0,-0.00289574973522
0.97,0,-0.00256653750596
0.98,0,-0.00195100318068
0.99,0,-0.00108135308443
1,0,0
